drug,reaction,severity,serious_count,frequency,relative_frequency
ABILIFY,Gait disturbance,0.0,0,1,0.047619047619047616
ABILIFY,Grand mal convulsion,0.0,0,1,0.047619047619047616
ABILIFY,Hyponatraemia,0.0,0,1,0.047619047619047616
ABILIFY,Influenza,0.0,0,2,0.09523809523809523
ABILIFY,Loss of consciousness,0.0,0,1,0.047619047619047616
ABILIFY,Malaise,0.0,0,2,0.09523809523809523
ABILIFY,Pancreatitis,0.0,0,1,0.047619047619047616
ABILIFY,Pneumonia,0.0,0,1,0.047619047619047616
ABILIFY,Pyrexia,0.0,0,1,0.047619047619047616
ABILIFY,Sepsis,0.0,0,1,0.047619047619047616
ABILIFY,Speech disorder,0.0,0,1,0.047619047619047616
ABRAXANE,Dizziness,0.0,0,2,1.0
ACENOCOUMAROL,Fall,0.0,0,1,0.3333333333333333
ACENOCOUMAROL,Hip fracture,0.0,0,1,0.3333333333333333
ACENOCOUMAROL,Urinary tract infection,0.0,0,1,0.3333333333333333
ACETAMINOPHEN,Disease progression,0.0,0,13,0.8125
ACETAMINOPHEN,Muscular weakness,0.0,0,1,0.0625
ACETAMINOPHEN,Neurological decompensation,0.0,0,1,0.0625
ACETAMINOPHEN,Paraesthesia,0.0,0,1,0.0625
ACETAMINOPHEN.,Adenoviral haemorrhagic cystitis,0.0,0,2,0.5
ACETAMINOPHEN.,Pyrexia,0.0,0,2,0.5
ACETYLCYSTEINE.,Drug ineffective,0.0,0,1,0.5
ACETYLCYSTEINE.,Pulmonary arterial hypertension,0.0,0,1,0.5
ACETYLSALICYLIC ACID,Drug interaction,0.0,0,1,0.25
ACETYLSALICYLIC ACID,Erythema,0.0,0,1,0.25
ACETYLSALICYLIC ACID,Pruritus,0.0,0,1,0.25
ACETYLSALICYLIC ACID,Urticaria,0.0,0,1,0.25
ACIPHEX,Abdominal pain,0.0,0,1,0.05263157894736842
ACIPHEX,Anxiety,0.0,0,1,0.05263157894736842
ACIPHEX,Bone graft,0.0,0,1,0.05263157894736842
ACIPHEX,Cerebrovascular arteriovenous malformation,0.0,0,1,0.05263157894736842
ACIPHEX,Emotional distress,0.0,0,1,0.05263157894736842
ACIPHEX,Femur fracture,0.0,0,1,0.05263157894736842
ACIPHEX,Gastrooesophageal reflux disease,0.0,0,1,0.05263157894736842
ACIPHEX,General physical health deterioration,0.0,0,1,0.05263157894736842
ACIPHEX,Gingival recession,0.0,0,1,0.05263157894736842
ACIPHEX,Injury,0.0,0,1,0.05263157894736842
ACIPHEX,Intramedullary rod insertion,0.0,0,1,0.05263157894736842
ACIPHEX,Low turnover osteopathy,0.0,0,1,0.05263157894736842
ACIPHEX,Osteoporosis,0.0,0,1,0.05263157894736842
ACIPHEX,Pain,0.0,0,1,0.05263157894736842
ACIPHEX,Periodontal operation,0.0,0,1,0.05263157894736842
ACIPHEX,Peripheral artery thrombosis,0.0,0,1,0.05263157894736842
ACIPHEX,Reflux laryngitis,0.0,0,1,0.05263157894736842
ACIPHEX,Rib fracture,0.0,0,1,0.05263157894736842
ACIPHEX,Squamous cell carcinoma of skin,0.0,0,1,0.05263157894736842
ACLASTA,Abasia,0.0,0,1,0.015151515151515152
ACLASTA,Anaemia,0.0,0,4,0.06060606060606061
ACLASTA,Bronchopulmonary aspergillosis,0.0,0,4,0.06060606060606061
ACLASTA,Chronic obstructive pulmonary disease,0.0,0,5,0.07575757575757576
ACLASTA,Coma,0.0,0,1,0.015151515151515152
ACLASTA,Crohn^s disease,0.0,0,2,0.030303030303030304
ACLASTA,Death,0.0,0,9,0.13636363636363635
ACLASTA,Diarrhoea,0.0,0,2,0.030303030303030304
ACLASTA,Headache,0.0,0,2,0.030303030303030304
ACLASTA,Histiocytosis haematophagic,0.0,0,4,0.06060606060606061
ACLASTA,Malaise,0.0,0,3,0.045454545454545456
ACLASTA,Mobility decreased,0.0,0,1,0.015151515151515152
ACLASTA,Myalgia,0.0,0,4,0.06060606060606061
ACLASTA,Nasal congestion,0.0,0,2,0.030303030303030304
ACLASTA,Nasopharyngitis,0.0,0,2,0.030303030303030304
ACLASTA,Nausea,0.0,0,2,0.030303030303030304
ACLASTA,Neoplasm malignant,0.0,0,4,0.06060606060606061
ACLASTA,Nerve compression,0.0,0,1,0.015151515151515152
ACLASTA,Pain in extremity,0.0,0,4,0.06060606060606061
ACLASTA,Pyrexia,0.0,0,2,0.030303030303030304
ACLASTA,Respiratory failure,0.0,0,3,0.045454545454545456
ACLASTA,Thrombosis,0.0,0,2,0.030303030303030304
ACLASTA,Underdose,0.0,0,2,0.030303030303030304
ACLASTA/ZOLEDRONATE,Bone density decreased,0.0,0,1,1.0
ACTH,Abnormal behaviour,0.0,0,1,0.3333333333333333
ACTH,Insomnia,0.0,0,1,0.3333333333333333
ACTH,Irritability,0.0,0,1,0.3333333333333333
ACTONEL,Chest discomfort,0.0,0,1,0.3333333333333333
ACTONEL,Headache,0.0,0,1,0.3333333333333333
ACTONEL,Mycobacterium tuberculosis complex test positive,0.0,0,1,0.3333333333333333
ACYCLOVIR,Acute graft versus host disease,0.0,0,1,0.1111111111111111
ACYCLOVIR,Adenovirus infection,0.0,0,1,0.1111111111111111
ACYCLOVIR,BK virus infection,0.0,0,1,0.1111111111111111
ACYCLOVIR,Cystitis haemorrhagic,0.0,0,2,0.2222222222222222
ACYCLOVIR,Cytomegalovirus infection,0.0,0,1,0.1111111111111111
ACYCLOVIR,Graft versus host disease,0.0,0,1,0.1111111111111111
ACYCLOVIR,Pneumonia,0.0,0,1,0.1111111111111111
ACYCLOVIR,Pulmonary alveolar haemorrhage,0.0,0,1,0.1111111111111111
ACYCLOVIR                          /00587301/,Adverse drug reaction,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,Blood count abnormal,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,Blood lactate dehydrogenase increased,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,Blood smear test abnormal,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,Contusion,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,Disease progression,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,Epistaxis,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,Fatigue,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,Headache,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,Influenza,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,Nausea,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,Platelet count decreased,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,White blood cell count increased,0.0,0,1,0.07142857142857142
ACYCLOVIR                          /00587301/,Wound haemorrhage,0.0,0,1,0.07142857142857142
ACZ885,Erysipelas,0.0,0,1,0.5
ACZ885,Sepsis,0.0,0,1,0.5
ADALAT,Epistaxis,0.0,0,1,1.0
ADALAT CC,Subdural haematoma,0.0,0,1,1.0
ADCAL D3,Chest discomfort,0.0,0,1,0.25
ADCAL D3,Dry eye,0.0,0,1,0.25
ADCAL D3,Eye pain,0.0,0,1,0.25
ADCAL D3,Ocular hyperaemia,0.0,0,1,0.25
ADCIRCA,Arthralgia,0.0,0,1,0.07692307692307693
ADCIRCA,Back pain,0.0,0,1,0.07692307692307693
ADCIRCA,Cardiac failure congestive,0.0,0,1,0.07692307692307693
ADCIRCA,Drug hypersensitivity,0.0,0,1,0.07692307692307693
ADCIRCA,Dyspnoea,0.0,0,1,0.07692307692307693
ADCIRCA,Fall,0.0,0,1,0.07692307692307693
ADCIRCA,Head injury,0.0,0,1,0.07692307692307693
ADCIRCA,Malaise,0.0,0,1,0.07692307692307693
ADCIRCA,Pruritus,0.0,0,1,0.07692307692307693
ADCIRCA,Rash,0.0,0,1,0.07692307692307693
ADCIRCA,Unevaluable event,0.0,0,2,0.15384615384615385
ADCIRCA,Urinary tract infection,0.0,0,1,0.07692307692307693
ADDERALL,Activities of daily living impaired,0.0,0,1,0.25
ADDERALL,Crying,0.0,0,1,0.25
ADDERALL,Depression,0.0,0,1,0.25
ADDERALL,Drug ineffective,0.0,0,1,0.25
ADIRO 100,Hypoacusis,0.0,0,1,1.0
ADRIAMYCIN,Arthralgia,0.0,0,1,0.1111111111111111
ADRIAMYCIN,Asthenia,0.0,0,1,0.1111111111111111
ADRIAMYCIN,Diarrhoea,0.0,0,1,0.1111111111111111
ADRIAMYCIN,Myalgia,0.0,0,1,0.1111111111111111
ADRIAMYCIN,Nail toxicity,0.0,0,1,0.1111111111111111
ADRIAMYCIN,Neuropathy peripheral,0.0,0,1,0.1111111111111111
ADRIAMYCIN,Palmar-plantar erythrodysaesthesia syndrome,0.0,0,1,0.1111111111111111
ADRIAMYCIN,Skin toxicity,0.0,0,1,0.1111111111111111
ADRIAMYCIN,Type IV hypersensitivity reaction,0.0,0,1,0.1111111111111111
ADVAIR,Diarrhoea,0.0,0,1,0.3333333333333333
ADVAIR,Dysphonia,0.0,0,1,0.3333333333333333
ADVAIR,Lung infection,0.0,0,1,0.3333333333333333
ADVAIR HFA,Back pain,0.0,0,1,0.5
ADVAIR HFA,Dehydration,0.0,0,1,0.5
ADVIL,Acute respiratory distress syndrome,0.0,0,1,0.045454545454545456
ADVIL,Amnesia,0.0,0,1,0.045454545454545456
ADVIL,Blood cholesterol increased,0.0,0,1,0.045454545454545456
ADVIL,Contusion,0.0,0,1,0.045454545454545456
ADVIL,Drug dose omission,0.0,0,1,0.045454545454545456
ADVIL,Dyspnoea,0.0,0,1,0.045454545454545456
ADVIL,Exposure to contaminated water,0.0,0,1,0.045454545454545456
ADVIL,Eye disorder,0.0,0,1,0.045454545454545456
ADVIL,Fall,0.0,0,1,0.045454545454545456
ADVIL,Headache,0.0,0,1,0.045454545454545456
ADVIL,Hypertension,0.0,0,1,0.045454545454545456
ADVIL,Laboratory test abnormal,0.0,0,1,0.045454545454545456
ADVIL,Loss of consciousness,0.0,0,1,0.045454545454545456
ADVIL,Lower respiratory tract infection bacterial,0.0,0,1,0.045454545454545456
ADVIL,Lung infection,0.0,0,1,0.045454545454545456
ADVIL,Organising pneumonia,0.0,0,1,0.045454545454545456
ADVIL,Pain,0.0,0,1,0.045454545454545456
ADVIL,Platelet count increased,0.0,0,1,0.045454545454545456
ADVIL,Psoriasis,0.0,0,1,0.045454545454545456
ADVIL,Treatment noncompliance,0.0,0,1,0.045454545454545456
ADVIL,Urinary tract infection bacterial,0.0,0,1,0.045454545454545456
ADVIL,White blood cell count increased,0.0,0,1,0.045454545454545456
ADVIL COLD,Abdominal pain,0.0,0,1,0.125
ADVIL COLD,Anxiety,0.0,0,1,0.125
ADVIL COLD,Deep vein thrombosis,0.0,0,1,0.125
ADVIL COLD,Emotional distress,0.0,0,1,0.125
ADVIL COLD,General physical health deterioration,0.0,0,1,0.125
ADVIL COLD,Injury,0.0,0,1,0.125
ADVIL COLD,Pain,0.0,0,1,0.125
ADVIL COLD,Thrombosis,0.0,0,1,0.125
AFINITOR,Death,0.0,0,1,0.3333333333333333
AFINITOR,Metastases to bone,0.0,0,1,0.3333333333333333
AFINITOR,Osteonecrosis of jaw,0.0,0,1,0.3333333333333333
AFRIN NO DRIP,Drug ineffective,0.0,0,1,1.0
AKINETON,Abdominal pain,0.0,0,1,0.05263157894736842
AKINETON,Aggression,0.0,0,1,0.05263157894736842
AKINETON,Agitation,0.0,0,1,0.05263157894736842
AKINETON,Amenorrhoea,0.0,0,1,0.05263157894736842
AKINETON,Blood prolactin increased,0.0,0,1,0.05263157894736842
AKINETON,Breast enlargement,0.0,0,1,0.05263157894736842
AKINETON,Dyskinesia,0.0,0,1,0.05263157894736842
AKINETON,Dyspnoea,0.0,0,1,0.05263157894736842
AKINETON,Dysuria,0.0,0,1,0.05263157894736842
AKINETON,Fatigue,0.0,0,1,0.05263157894736842
AKINETON,Galactorrhoea,0.0,0,1,0.05263157894736842
AKINETON,Hyperhidrosis,0.0,0,1,0.05263157894736842
AKINETON,Muscle spasms,0.0,0,1,0.05263157894736842
AKINETON,Muscular weakness,0.0,0,1,0.05263157894736842
AKINETON,Ovarian germ cell cancer stage II,0.0,0,1,0.05263157894736842
AKINETON,Palpitations,0.0,0,1,0.05263157894736842
AKINETON,Swelling,0.0,0,1,0.05263157894736842
AKINETON,Tremor,0.0,0,1,0.05263157894736842
AKINETON,Weight increased,0.0,0,1,0.05263157894736842
AKTIFERRIN,Apnoea,0.0,0,1,0.14285714285714285
AKTIFERRIN,Bronchiolitis,0.0,0,1,0.14285714285714285
AKTIFERRIN,Cyanosis,0.0,0,1,0.14285714285714285
AKTIFERRIN,Inguinal hernia,0.0,0,1,0.14285714285714285
AKTIFERRIN,Oedema genital,0.0,0,1,0.14285714285714285
AKTIFERRIN,Rhinorrhoea,0.0,0,1,0.14285714285714285
AKTIFERRIN,Umbilical hernia,0.0,0,1,0.14285714285714285
ALBUTEROL,Diarrhoea,0.0,0,1,0.16666666666666666
ALBUTEROL,Dyspnoea,0.0,0,1,0.16666666666666666
ALBUTEROL,Exercise tolerance decreased,0.0,0,1,0.16666666666666666
ALBUTEROL,Product quality issue,0.0,0,3,0.5
ALBUTEROL                          /00139501/,Epistaxis,0.0,0,1,0.2
ALBUTEROL                          /00139501/,Haemoglobin decreased,0.0,0,1,0.2
ALBUTEROL                          /00139501/,Headache,0.0,0,1,0.2
ALBUTEROL                          /00139501/,Malaise,0.0,0,1,0.2
ALBUTEROL                          /00139501/,Nausea,0.0,0,1,0.2
ALBUTEROL HFA,Fatigue,0.0,0,1,1.0
ALDACTONE,Melaena,0.0,0,1,1.0
ALDACTONE                          /00006201/,Abdominal discomfort,0.0,0,1,0.1111111111111111
ALDACTONE                          /00006201/,Contusion,0.0,0,1,0.1111111111111111
ALDACTONE                          /00006201/,Dizziness,0.0,0,1,0.1111111111111111
ALDACTONE                          /00006201/,Ecchymosis,0.0,0,1,0.1111111111111111
ALDACTONE                          /00006201/,Headache,0.0,0,1,0.1111111111111111
ALDACTONE                          /00006201/,Hypoaesthesia,0.0,0,1,0.1111111111111111
ALDACTONE                          /00006201/,Nausea,0.0,0,1,0.1111111111111111
ALDACTONE                          /00006201/,Paraesthesia,0.0,0,1,0.1111111111111111
ALDACTONE                          /00006201/,Platelet count increased,0.0,0,1,0.1111111111111111
ALDACTONE (CANRENOATE POTASSIUM),Renal failure acute,0.0,0,1,1.0
ALDACTONE A,Ventricular tachycardia,0.0,0,1,1.0
ALENDRONATE,Drug ineffective,0.0,0,1,0.5
ALENDRONATE,Pulmonary arterial hypertension,0.0,0,1,0.5
ALENDRONATE SODIUM.,Bone graft,0.0,0,1,0.1
ALENDRONATE SODIUM.,Femur fracture,0.0,0,1,0.1
ALENDRONATE SODIUM.,Gingival recession,0.0,0,1,0.1
ALENDRONATE SODIUM.,Intramedullary rod insertion,0.0,0,1,0.1
ALENDRONATE SODIUM.,Low turnover osteopathy,0.0,0,1,0.1
ALENDRONATE SODIUM.,Osteoporosis,0.0,0,1,0.1
ALENDRONATE SODIUM.,Periodontal operation,0.0,0,1,0.1
ALENDRONATE SODIUM.,Reflux laryngitis,0.0,0,1,0.1
ALENDRONATE SODIUM.,Rib fracture,0.0,0,1,0.1
ALENDRONATE SODIUM.,Squamous cell carcinoma of skin,0.0,0,1,0.1
ALENDRONIC ACID,Asthenia,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Chest discomfort,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Dry eye,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Exposure during pregnancy,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Eye pain,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Feeling hot,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Foetal cardiac disorder,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Hyperhidrosis,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Hypoaesthesia,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Local swelling,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Mobility decreased,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Ocular hyperaemia,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Off label use,0.0,0,1,0.07142857142857142
ALENDRONIC ACID,Tremor,0.0,0,1,0.07142857142857142
ALEVE,Dyspnoea,0.0,0,1,0.5
ALEVE,Rash,0.0,0,1,0.5
ALL OTHER THERAPEUTIC PRODUCTS,Asthenia,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Back pain,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Constipation,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Diarrhoea,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Dizziness,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Dyspepsia,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Headache,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Malaise,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Multiple sclerosis relapse,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Nasal discomfort,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Nausea,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Paraesthesia,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Pruritus,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Renal function test abnormal,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Throat irritation,0.0,0,1,0.0625
ALL OTHER THERAPEUTIC PRODUCTS,Urinary tract infection,0.0,0,1,0.0625
ALLEGRA,Fluid retention,0.0,0,1,0.3333333333333333
ALLEGRA,Oedema peripheral,0.0,0,1,0.3333333333333333
ALLEGRA,Weight increased,0.0,0,1,0.3333333333333333
ALLEGRA ALLERGY,Drug dose omission,0.0,0,1,0.5
ALLEGRA ALLERGY,Memory impairment,0.0,0,1,0.5
ALLERGY TAB,Abnormal dreams,0.0,0,1,0.16666666666666666
ALLERGY TAB,Feeling abnormal,0.0,0,1,0.16666666666666666
ALLERGY TAB,Fluid retention,0.0,0,1,0.16666666666666666
ALLERGY TAB,Insomnia,0.0,0,1,0.16666666666666666
ALLERGY TAB,Nightmare,0.0,0,1,0.16666666666666666
ALLERGY TAB,Testicular swelling,0.0,0,1,0.16666666666666666
ALLOPURINOL,Abdominal discomfort,0.0,0,1,0.017857142857142856
ALLOPURINOL,Abdominal pain,0.0,0,1,0.017857142857142856
ALLOPURINOL,Alcohol detoxification,0.0,0,1,0.017857142857142856
ALLOPURINOL,Alcohol withdrawal syndrome,0.0,0,1,0.017857142857142856
ALLOPURINOL,Contusion,0.0,0,2,0.03571428571428571
ALLOPURINOL,Convulsion,0.0,0,1,0.017857142857142856
ALLOPURINOL,Dehydration,0.0,0,1,0.017857142857142856
ALLOPURINOL,Disease progression,0.0,0,1,0.017857142857142856
ALLOPURINOL,Dizziness,0.0,0,2,0.03571428571428571
ALLOPURINOL,Drug administration error,0.0,0,1,0.017857142857142856
ALLOPURINOL,Drug ineffective,0.0,0,1,0.017857142857142856
ALLOPURINOL,Dysarthria,0.0,0,1,0.017857142857142856
ALLOPURINOL,Ecchymosis,0.0,0,1,0.017857142857142856
ALLOPURINOL,Electrolyte imbalance,0.0,0,1,0.017857142857142856
ALLOPURINOL,Fall,0.0,0,1,0.017857142857142856
ALLOPURINOL,Fatigue,0.0,0,1,0.017857142857142856
ALLOPURINOL,Gait disturbance,0.0,0,1,0.017857142857142856
ALLOPURINOL,Graft versus host disease,0.0,0,1,0.017857142857142856
ALLOPURINOL,Haematochezia,0.0,0,1,0.017857142857142856
ALLOPURINOL,Haemoglobin decreased,0.0,0,1,0.017857142857142856
ALLOPURINOL,Headache,0.0,0,3,0.05357142857142857
ALLOPURINOL,Hepatic failure,0.0,0,1,0.017857142857142856
ALLOPURINOL,Hypoaesthesia,0.0,0,2,0.03571428571428571
ALLOPURINOL,Influenza,0.0,0,1,0.017857142857142856
ALLOPURINOL,Intraocular pressure increased,0.0,0,1,0.017857142857142856
ALLOPURINOL,Joint injury,0.0,0,1,0.017857142857142856
ALLOPURINOL,Laceration,0.0,0,1,0.017857142857142856
ALLOPURINOL,Loss of consciousness,0.0,0,1,0.017857142857142856
ALLOPURINOL,Malaise,0.0,0,1,0.017857142857142856
ALLOPURINOL,Mental status changes,0.0,0,1,0.017857142857142856
ALLOPURINOL,Nausea,0.0,0,1,0.017857142857142856
ALLOPURINOL,Night sweats,0.0,0,1,0.017857142857142856
ALLOPURINOL,No therapeutic response,0.0,0,1,0.017857142857142856
ALLOPURINOL,Paraesthesia,0.0,0,1,0.017857142857142856
ALLOPURINOL,Platelet count abnormal,0.0,0,1,0.017857142857142856
ALLOPURINOL,Platelet count decreased,0.0,0,1,0.017857142857142856
ALLOPURINOL,Platelet count increased,0.0,0,1,0.017857142857142856
ALLOPURINOL,Pneumonia,0.0,0,1,0.017857142857142856
ALLOPURINOL,Rash,0.0,0,2,0.03571428571428571
ALLOPURINOL,Renal failure acute,0.0,0,1,0.017857142857142856
ALLOPURINOL,Renal impairment,0.0,0,1,0.017857142857142856
ALLOPURINOL,Splenomegaly,0.0,0,1,0.017857142857142856
ALLOPURINOL,Stem cell transplant,0.0,0,2,0.03571428571428571
ALLOPURINOL,Swollen tongue,0.0,0,1,0.017857142857142856
ALLOPURINOL,Thrombotic microangiopathy,0.0,0,1,0.017857142857142856
ALLOPURINOL,Tongue injury,0.0,0,1,0.017857142857142856
ALLOPURINOL,Transfusion,0.0,0,1,0.017857142857142856
ALLOPURINOL,Vision blurred,0.0,0,1,0.017857142857142856
ALLOPURINOL,Weight increased,0.0,0,1,0.017857142857142856
ALLOPURINOL.,Blindness,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Blood count abnormal,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Constipation,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Diarrhoea,0.0,0,2,0.08333333333333333
ALLOPURINOL.,Dizziness,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Dry eye,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Epistaxis,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Fluid retention,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Gout,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Headache,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Incontinence,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Increased appetite,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Increased tendency to bruise,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Muscle abscess,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Nasopharyngitis,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Oedema peripheral,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Off label use,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Platelet count decreased,0.0,0,2,0.08333333333333333
ALLOPURINOL.,Pruritus,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Skin cancer,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Weight increased,0.0,0,1,0.041666666666666664
ALLOPURINOL.,Wrong technique in product usage process,0.0,0,1,0.041666666666666664
ALLOPURINOLO,Abdominal pain,0.0,0,2,0.15384615384615385
ALLOPURINOLO,Asthenia,0.0,0,1,0.07692307692307693
ALLOPURINOLO,Blood creatinine increased,0.0,0,2,0.15384615384615385
ALLOPURINOLO,C-reactive protein increased,0.0,0,2,0.15384615384615385
ALLOPURINOLO,Diarrhoea,0.0,0,2,0.15384615384615385
ALLOPURINOLO,Dysuria,0.0,0,1,0.07692307692307693
ALLOPURINOLO,Pleural effusion,0.0,0,1,0.07692307692307693
ALLOPURINOLO,Pyrexia,0.0,0,1,0.07692307692307693
ALLOPURINOLO,Weight decreased,0.0,0,1,0.07692307692307693
ALPRAZOLAM,Abdominal distension,0.0,0,1,0.14285714285714285
ALPRAZOLAM,Bone marrow failure,0.0,0,2,0.2857142857142857
ALPRAZOLAM,Diarrhoea,0.0,0,1,0.14285714285714285
ALPRAZOLAM,Flatulence,0.0,0,1,0.14285714285714285
ALPRAZOLAM,Memory impairment,0.0,0,1,0.14285714285714285
ALPRAZOLAM,Neutrophil count decreased,0.0,0,1,0.14285714285714285
ALVEDON,Blindness,0.0,0,1,1.0
AMARIL,Off label use,0.0,0,1,0.5
AMARIL,Pancreatitis,0.0,0,1,0.5
AMBIEN,Abdominal pain upper,0.0,0,1,0.05263157894736842
AMBIEN,Amnesia,0.0,0,1,0.05263157894736842
AMBIEN,Drug ineffective,0.0,0,1,0.05263157894736842
AMBIEN,Dry eye,0.0,0,1,0.05263157894736842
AMBIEN,Dry mouth,0.0,0,1,0.05263157894736842
AMBIEN,Dyspnoea,0.0,0,1,0.05263157894736842
AMBIEN,Fatigue,0.0,0,1,0.05263157894736842
AMBIEN,Grand mal convulsion,0.0,0,1,0.05263157894736842
AMBIEN,Haemoglobin decreased,0.0,0,1,0.05263157894736842
AMBIEN,Hyponatraemia,0.0,0,1,0.05263157894736842
AMBIEN,Influenza,0.0,0,1,0.05263157894736842
AMBIEN,Nausea,0.0,0,1,0.05263157894736842
AMBIEN,Pancreatitis,0.0,0,1,0.05263157894736842
AMBIEN,Pneumonia,0.0,0,2,0.10526315789473684
