drugName,condition,rating,effectiveness,usefulCount,review_length
Acetaminophen / chlorpheniramine / phenylephrine,Sinus Symptoms,10.0,1.0,9,67.0
Acetaminophen / codeine,Cough,8.5,0.9,317,221.1
Acetaminophen / codeine,Osteoarthritis,9.333333333333334,1.0,108,140.0
Acetaminophen / codeine,Pain,4.889830508474576,0.461864406779661,2166,305.72033898305085
Acetaminophen / dexbrompheniramine / pseudoephedrine,Allergic Rhinitis,10.0,1.0,1,191.0
Acetaminophen / dexbrompheniramine / pseudoephedrine,Sinus Symptoms,8.0,1.0,0,269.0
Acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,Cold Symptoms,8.2,0.9,15,108.2
Acetaminophen / dextromethorphan / guaifenesin / phenylephrine,Cold Symptoms,10.0,1.0,4,75.0
Acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,Cold Symptoms,10.0,1.0,1,44.0
Acetaminophen / dextromethorphan / phenylephrine,Sinus Symptoms,9.0,1.0,2,200.5
Acetaminophen / dextromethorphan / pseudoephedrine,Cold Symptoms,8.0,1.0,3,323.0
Acetaminophen / dichloralphenazone / isometheptene mucate,Headache,8.709677419354838,0.9112903225806451,520,340.2741935483871
Acetaminophen / diphenhydramine,Headache,5.166666666666667,0.5,54,227.16666666666666
Acetaminophen / diphenhydramine,Insomnia,7.0625,0.71875,358,265.75
Acetaminophen / diphenhydramine,Pain,8.8,1.0,56,418.2
Acetaminophen / diphenhydramine / phenylephrine,Cold Symptoms,6.25,0.625,3,268.5
Acetaminophen / hydrocodone,Back Pain,8.225274725274724,0.8818681318681318,5637,311.36813186813185
Acetaminophen / hydrocodone,Cough,9.45,0.95,835,306.6
Acetaminophen / hydrocodone,Not Listed / Othe,9.333333333333334,1.0,12,255.33333333333334
Acetaminophen / hydrocodone,Pain,7.971238938053097,0.8495575221238938,11868,309.2566371681416
Acetaminophen / hydrocodone,Rheumatoid Arthritis,7.565217391304348,0.7608695652173914,1280,234.2608695652174
Acetaminophen / oxycodone,Chronic Pain,7.985714285714286,0.8535714285714285,4837,366.01428571428573
Acetaminophen / oxycodone,Not Listed / Othe,9.571428571428571,1.0,8,211.85714285714286
Acetaminophen / oxycodone,Pain,8.669421487603305,0.928374655647383,8825,309.89256198347107
Acetaminophen / pamabrom,Back Pain,9.0,0.9166666666666666,128,331.8333333333333
Acetaminophen / pamabrom / pyrilamine,Premenstrual Syndrome,9.0,1.0,0,68.0
Acetaminophen / pentazocine,Pain,8.5,1.0,31,214.0
Acetaminophen / phenylephrine,Headache,10.0,1.0,10,173.0
Acetaminophen / phenylephrine,Not Listed / Othe,10.0,1.0,0,111.0
Acetaminophen / phenylephrine,Sinus Symptoms,4.0,0.0,0,140.0
Acetaminophen / phenyltoloxamine,Headache,9.714285714285714,1.0,71,248.42857142857142
Acetaminophen / phenyltoloxamine,Influenza,10.0,1.0,5,127.0
Acetaminophen / phenyltoloxamine,Pain,9.125,1.0,93,220.0
Acetaminophen / propoxyphene,Not Listed / Othe,10.0,1.0,1,521.0
Acetaminophen / propoxyphene,Osteoarthritis,4.0,0.0,3,88.0
Acetaminophen / propoxyphene,Pain,7.565217391304348,0.7898550724637681,1323,255.30434782608697
Acetaminophen / pseudoephedrine,Sinus Symptoms,10.0,1.0,38,216.5
Acetaminophen / tramadol,Not Listed / Othe,8.0,1.0,15,766.0
Acetaminophen / tramadol,Pain,7.425,0.7625,1619,410.475
Acetaminophen / tramadol,Rheumatoid Arthritis,8.666666666666666,1.0,71,403.3333333333333
Acetazolamide,Edema,8.333333333333334,0.8333333333333334,36,487.0
Acetazolamide,Epilepsy,8.5,1.0,32,168.5
Acetazolamide,Glaucoma,5.5625,0.53125,202,400.6875
Acetazolamide,Hydrocephalus,9.0,1.0,3,606.0
Acetazolamide,Hypokalemic Periodic Paralysis,10.0,1.0,6,476.0
Acetazolamide,Mountain Sickness / Altitude Sickness,9.142857142857142,0.9285714285714286,229,409.57142857142856
Acetazolamide,Pseudotumor Cerebri,6.655737704918033,0.680327868852459,940,578.360655737705
Acetazolamide,Seizure Prevention,6.5,0.75,2,654.0
Acetic acid,Wound Cleansing,6.0,0.5,3,154.0
Acetic acid / antipyrine / benzocaine / polycosanol,Ear Wax Impaction,10.0,1.0,0,145.0
Acetic acid / hydrocortisone,Otitis Externa,8.0,1.0,14,214.0
Acetohydroxamic acid,Urinary Tract Infection,9.0,1.0,4,361.0
Acetylcysteine,Acetaminophen Overdose,9.0,1.0,14,369.0
Acetylcysteine,Diagnostic Bronchograms,9.0,1.0,5,295.0
Acetylcysteine,Expectoration,8.777777777777779,0.8888888888888888,237,458.8888888888889
Acidophilus,Irritable Bowel Syndrome,10.0,1.0,166,374.0
Acidophilus,Urinary Tract Infection,10.0,1.0,189,744.0
Acidophilus,Vaginal Yeast Infection,9.153846153846153,0.9615384615384616,472,476.0769230769231
Aciphex,Barrett's Esophagus,8.5,1.0,47,133.5
Aciphex,Duodenal Ulce,9.0,1.0,21,256.0
Aciphex,Erosive Esophagitis,8.2,0.8,96,186.8
Aciphex,GERD,9.413793103448276,0.9655172413793104,701,237.0
Aciphex,Helicobacter Pylori Infection,9.5,1.0,51,158.0
Aciphex,Stomach Ulce,10.0,1.0,32,88.0
Acitretin,Psoriasis,7.583333333333333,0.7916666666666666,335,357.3333333333333
Aclidinium,COPD,9.285714285714286,1.0,231,172.14285714285714
Aclidinium,"COPD, Maintenance",9.25,1.0,133,262.5
Acnex,Acne,10.0,1.0,5,118.0
Acrivastine / pseudoephedrine,Allergic Rhinitis,10.0,1.0,5,216.0
Acrivastine / pseudoephedrine,Nasal Congestion,10.0,1.0,11,227.0
Actemra,Juvenile Idiopathic Arthritis,7.75,0.75,55,370.0
Actemra,Rheumatoid Arthritis,8.307692307692308,0.8846153846153846,547,549.7692307692307
Acthar,Allergies,9.0,1.0,3,11.0
Acthar,Multiple Sclerosis,6.0,0.5,20,260.0
Acthar,Rheumatoid Arthritis,10.0,1.0,5,320.0
Acthar,Sarcoidosis,10.0,1.0,0,20.0
Acticlate,Acne,8.333333333333334,1.0,25,750.0
Actifed,Allergic Rhinitis,7.0,0.8333333333333334,23,143.66666666666666
Actifed,Cold Symptoms,8.166666666666666,0.8333333333333334,32,201.33333333333334
Actiq,Breakthrough Pain,8.875,0.9375,309,477.25
Actiq,Chronic Pain,8.0,1.0,10,69.0
Actiq,Pain,9.6,1.0,248,424.6
Activella,Postmenopausal Symptoms,8.6,0.9,122,393.4
ActoPlus Met,"Diabetes, Type 2",7.2,0.8,82,192.2
Actonel,Osteoporosis,3.3846153846153846,0.19230769230769232,1053,279.9230769230769
Actonel,Paget's Disease,10.0,1.0,34,286.0
Actonel with Calcium,Osteoporosis,3.0,0.0,8,411.0
Actos,"Diabetes, Type 2",5.103448275862069,0.43103448275862066,1036,280.41379310344826
Acular LS,Corneal Refractive Surgery,9.0,1.0,14,235.0
Acuvail,Postoperative Ocular Inflammation,9.0,1.0,0,380.0
Acyclovir,Cold Sores,8.38888888888889,0.875,330,481.94444444444446
Acyclovir,Herpes Simplex,8.06060606060606,0.8409090909090909,1731,482.1666666666667
Acyclovir,"Herpes Simplex, Mucocutaneous/Immunocompetent Host",5.0,0.5,0,519.0
Acyclovir,"Herpes Simplex, Mucocutaneous/Immunocompromised Host",8.0,1.0,11,586.0
Acyclovir,"Herpes Simplex, Suppression",8.68421052631579,0.8947368421052632,577,418.63157894736844
Acyclovir,Herpes Zoste,8.571428571428571,1.0,138,325.0
Acyclovir,Mononucleosis,10.0,1.0,43,512.3333333333334
Acyclovir,Not Listed / Othe,9.0,1.0,14,166.66666666666666
Acyclovir / hydrocortisone,Cold Sores,10.0,1.0,1,234.0
Aczone,2</span> users found this comment helpful.,9.0,1.0,2,724.0
Aczone,Acne,7.309523809523809,0.7380952380952381,2900,496.2261904761905
Adalat CC,High Blood Pressure,7.0,1.0,57,82.0
Adalimumab,Ankylosing Spondylitis,7.744186046511628,0.8023255813953488,1467,501.72093023255815
Adalimumab,Behcet's Disease,9.0,1.0,6,511.5
Adalimumab,Crohn's Disease,6.137931034482759,0.603448275862069,689,399.0689655172414
Adalimumab,"Crohn's Disease, Acute",6.833333333333333,0.6666666666666666,154,412.5
Adalimumab,"Crohn's Disease, Maintenance",7.8108108108108105,0.7972972972972973,1537,449.72972972972974
Adalimumab,Hidradenitis Suppurativa,3.6666666666666665,0.3333333333333333,35,330.0
Adalimumab,Juvenile Idiopathic Arthritis,9.5,1.0,24,323.0
Adalimumab,Not Listed / Othe,10.0,1.0,0,262.0
Adalimumab,Plaque Psoriasis,6.571428571428571,0.6428571428571429,206,484.85714285714283
Adalimumab,Psoriasis,7.530864197530864,0.7716049382716049,2221,409.69135802469134
Adalimumab,Psoriatic Arthritis,7.490196078431373,0.7450980392156863,1458,501.1372549019608
Adalimumab,Reiter's Syndrome,8.666666666666666,1.0,15,518.6666666666666
Adalimumab,Rheumatoid Arthritis,6.543478260869565,0.657608695652174,4433,452.2826086956522
Adalimumab,Spondyloarthritis,6.0,0.5,16,230.0
Adalimumab,Ulcerative Colitis,6.0625,0.59375,352,461.5625
Adapalene,Acne,7.2100840336134455,0.7415966386554622,4642,539.7521008403361
Adapalene / benzoyl peroxide,Acne,7.446069469835466,0.7760511882998172,6048,521.890310786106
Adcirca,Pulmonary Hypertension,5.4,0.6,54,285.8
Adderall,10</span> users found this comment helpful.,6.0,0.5,10,564.0
Adderall,12</span> users found this comment helpful.,6.0,0.5,12,271.0
Adderall,142</span> users found this comment helpful.,10.0,1.0,142,210.0
Adderall,14</span> users found this comment helpful.,10.0,1.0,14,263.0
Adderall,15</span> users found this comment helpful.,9.0,1.0,15,601.0
Adderall,16</span> users found this comment helpful.,10.0,1.0,16,13.0
Adderall,21</span> users found this comment helpful.,8.0,1.0,21,413.0
Adderall,29</span> users found this comment helpful.,9.0,1.0,29,633.0
Adderall,4</span> users found this comment helpful.,4.0,0.0,4,441.0
Adderall,6</span> users found this comment helpful.,8.0,1.0,6,248.0
Adderall,7</span> users found this comment helpful.,6.0,0.5,7,143.0
Adderall,ADHD,8.224669603524228,0.8788546255506607,9989,478.7136563876652
Adderall,Narcolepsy,8.735294117647058,0.9411764705882353,1785,470.1764705882353
Adderall,atigue,8.0,1.0,76,262.0
Adderall XR,10</span> users found this comment helpful.,8.0,1.0,10,136.0
Adderall XR,13</span> users found this comment helpful.,10.0,1.0,13,790.0
Adderall XR,5</span> users found this comment helpful.,9.0,1.0,5,229.0
Adderall XR,ADHD,8.266187050359711,0.8884892086330936,4087,477.58273381294964
Adderall XR,Narcolepsy,9.571428571428571,1.0,235,495.0
Addyi,Hypoactive Sexual Desire Disorde,5.25,0.5,146,637.0
Adempas,Pulmonary Hypertension,1.0,0.0,0,160.0
Adenosine,Not Listed / Othe,10.0,1.0,12,661.0
Adenosine,Supraventricular Tachycardia,7.4,0.8,33,495.4
Adipex-P,17</span> users found this comment helpful.,10.0,1.0,17,220.0
Adipex-P,18</span> users found this comment helpful.,9.0,1.0,18,364.0
Adipex-P,4</span> users found this comment helpful.,9.666666666666666,1.0,12,192.33333333333334
Adipex-P,5</span> users found this comment helpful.,10.0,1.0,5,465.0
Adipex-P,6</span> users found this comment helpful.,10.0,1.0,6,355.0
Adipex-P,7</span> users found this comment helpful.,10.0,1.0,7,764.0
Adipex-P,Obesity,8.944444444444445,0.9277777777777778,4493,478.0777777777778
Adipex-P,Weight Loss,9.0,0.9416909620991254,21468,490.2594752186589
Adipost,Obesity,9.0,1.0,100,293.0
Adoxa,Acne,8.75,0.875,70,339.0
Adriamycin,Breast Cance,9.0,1.0,16,151.0
Adriamycin,Cance,10.0,1.0,19,10.0
Adriamycin,Lymphoma,4.0,0.0,9,162.0
Advair Diskus,10</span> users found this comment helpful.,7.0,1.0,10,124.0
Advair Diskus,2</span> users found this comment helpful.,1.0,0.0,2,131.0
Advair Diskus,6</span> users found this comment helpful.,10.0,1.0,6,395.0
Advair Diskus,8</span> users found this comment helpful.,9.0,1.0,8,455.0
Advair Diskus,"Asthma, Maintenance",7.785714285714286,0.8125,1225,358.0357142857143
Advair Diskus,"COPD, Maintenance",6.684210526315789,0.6578947368421053,384,268.63157894736844
Advair HFA,"Asthma, Maintenance",9.25,1.0,24,436.5
Advair HFA,"COPD, Maintenance",9.0,1.0,0,727.0
Advate,Hemophilia A,9.0,1.0,1,172.0
Advicor,High Cholesterol,10.0,1.0,14,123.0
Advil,4</span> users found this comment helpful.,8.0,1.0,4,261.0
Advil,Back Pain,4.0,0.5,20,149.0
Advil,Cystic Fibrosis,10.0,1.0,9,83.0
Advil,"Gout, Acute",9.0,1.0,38,353.0
Advil,Headache,8.2,0.8,28,389.0
Advil,Muscle Pain,7.0,0.6,110,131.8
Advil,Pain,9.0,1.0,49,276.0
Advil,Rheumatoid Arthritis,10.0,1.0,14,239.0
Advil,Sciatica,8.0,1.0,55,157.0
Advil,Spondylolisthesis,2.0,0.0,6,34.0
Advil,eve,9.0,1.0,36,207.0
Advil Cold and Sinus,Sinus Symptoms,8.238095238095237,0.8333333333333334,170,247.1904761904762
Advil Cold and Sinus Liqui-Gels,Sinus Symptoms,10.0,1.0,2,509.5
Advil Liqui-Gels,Back Pain,8.0,1.0,28,46.0
Advil Liqui-Gels,"Gout, Acute",9.5,1.0,80,221.0
Advil Liqui-Gels,Headache,1.0,0.0,7,279.0
Advil Liqui-Gels,Pain,6.0,0.5,34,169.5
Advil Liqui-Gels,Period Pain,9.5,1.0,26,182.0
Advil Liqui-Gels,Rheumatoid Arthritis,10.0,1.0,45,227.0
Advil Liqui-Gels,eve,9.0,1.0,6,55.0
Advil Migraine,Headache,9.0,1.0,6,159.0
Advil PM,Insomnia,9.0,1.0,23,778.0
Adzenys XR-ODT,ADHD,5.9523809523809526,0.5714285714285714,180,491.1904761904762
Aerobid,Asthma,10.0,1.0,11,21.0
Aerobid-M,1</span> users found this comment helpful.,10.0,1.0,1,436.0
Afatinib,Non-Small Cell Lung Cance,7.5,0.75,4,589.5
Afinitor,Brain Tum,8.0,1.0,22,190.0
Afinitor,Breast Cance,5.375,0.5,159,389.625
Afinitor,Pancreatic Cance,9.0,1.0,46,310.0
Afinitor,Renal Cell Carcinoma,7.0,1.0,68,73.0
Aflibercept,Diabetic Macular Edema,7.75,0.75,37,351.5
Aflibercept,Macular Degeneration,7.333333333333333,0.8333333333333334,222,569.8333333333334
Aflibercept,Macular Edema,3.0,0.0,0,48.0
Afrezza,"Diabetes, Type 1",7.548387096774194,0.7580645161290323,1330,281.7741935483871
Afrezza,"Diabetes, Type 2",7.217391304347826,0.6956521739130435,405,254.08695652173913
Afrin,Nasal Congestion,4.2,0.3625,245,298.475
Afrin 4 Hour Extra Moisturizing,Nasal Congestion,9.0,1.0,2,77.0
Afrin NoDrip Sinus,Nasal Congestion,5.0,0.5,8,443.0
Afrin Original,Nasal Congestion,3.6666666666666665,0.3333333333333333,5,362.6666666666667
Afrin Sinus,Nasal Congestion,8.0,1.0,2,223.0
Aftera,Emergency Contraception,6.891891891891892,0.6824324324324325,515,475.7162162162162
Aggrenox,"Ischemic Stroke, Prophylaxis",6.071428571428571,0.6071428571428571,477,339.07142857142856
AirDuo Respiclick,"Asthma, Maintenance",9.0,1.0,3,207.0
Ala-Quin,Dermatitis,10.0,1.0,3,711.0
Alahist LQ,Allergic Rhinitis,10.0,1.0,2,129.0
Alamast,"Conjunctivitis, Allergic",5.5,0.5,1,344.5
Alavert,Urticaria,10.0,1.0,26,182.0
Alavert D-12 Hour Allergy and Sinus,1</span> users found this comment helpful.,5.0,0.5,1,472.0
Alavert D-12 Hour Allergy and Sinus,Allergic Rhinitis,1.0,0.0,0,277.0
Albendazole,Ascariasis,9.0,1.0,17,384.0
Albendazole,Cutaneous Larva Migrans,9.0,1.0,9,532.5
Albendazole,Pinworm Infection (Enterobius vermicularis),8.0,1.0,36,312.0
Albenza,Pinworm Infection (Enterobius vermicularis),8.0,1.0,28,420.0
Albiglutide,"Diabetes, Type 2",4.636363636363637,0.36363636363636365,58,341.8181818181818
Albuterol,"Asthma, Maintenance",6.1875,0.65625,183,216.4375
Albuterol,"Asthma, acute",3.9454545454545453,0.3181818181818182,513,331.9818181818182
Albuterol,Bronchiectasis,3.7142857142857144,0.35714285714285715,30,232.0
Albuterol,Bronchospasm Prophylaxis,3.0,0.25,64,238.5
Albuterol,"COPD, Acute",5.666666666666667,0.6111111111111112,122,208.88888888888889
Albuterol,"COPD, Maintenance",6.846153846153846,0.7307692307692307,375,224.53846153846155
Albuterol / ipratropium,"COPD, Maintenance",7.08,0.7,486,280.08
Alcaftadine,"Conjunctivitis, Allergic",5.666666666666667,0.5555555555555556,316,398.72222222222223
Alclometasone,Atopic Dermatitis,9.0,1.0,3,51.0
Alclometasone,Psoriasis,8.0,1.0,13,358.0
Alcortin A,Dermatitis,8.5,1.0,7,100.0
Aldactazide,Edema,9.0,1.0,29,172.0
Aldactazide,High Blood Pressure,10.0,1.0,27,81.0
Aldactone,12</span> users found this comment helpful.,10.0,1.0,12,34.0
Aldactone,Acne,9.8,1.0,469,473.2
Aldactone,Alopecia,9.0,1.0,133,73.0
Aldactone,Edema,9.0,1.0,78,56.0
Aldactone,Heart Failure,5.5,0.5,104,197.0
Aldactone,High Blood Pressure,4.333333333333333,0.3333333333333333,388,531.0
Aldactone,Primary Hyperaldosteronism,9.0,1.0,46,367.0
Aldara,Basal Cell Carcinoma,6.909090909090909,0.6818181818181818,446,367.3636363636364
Aldara,Condylomata Acuminata,6.0,0.5,38,353.5
Aldara,Human Papilloma Virus,7.9375,0.84375,445,554.5625
Aldara,Keratosis,8.6,0.9,91,431.8
Aldesleukin,Renal Cell Carcinoma,10.0,1.0,13,443.0
Aldomet,High Blood Pressure,3.0,0.0,24,782.0
Alefacept,Psoriasis,10.0,1.0,3,751.0
Alemtuzumab,Multiple Sclerosis,8.75,0.875,114,295.25
Alendronate,Osteoporosis,2.8421052631578947,0.18421052631578946,2101,439.94736842105266
Alendronate,Prevention of Osteoporosis,2.4,0.1,520,280.7
Alesse,1</span> users found this comment helpful.,2.0,0.0,1,430.0
Alesse,2</span> users found this comment helpful.,8.5,1.0,4,396.5
Alesse,3</span> users found this comment helpful.,8.0,1.0,6,453.0
Alesse,4</span> users found this comment helpful.,9.0,1.0,4,254.0
Alesse,Abnormal Uterine Bleeding,4.875,0.375,30,549.5
Alesse,Birth Control,5.5528455284552845,0.5040650406504065,1061,527.9430894308944
Alesse,Endometriosis,7.0,0.8333333333333334,7,429.0
Alesse,Polycystic Ovary Syndrome,6.5,0.75,12,469.5
Aleve,Ankylosing Spondylitis,3.0,0.0,4,147.0
Aleve,Back Pain,6.346153846153846,0.5769230769230769,846,223.3846153846154
Aleve,Costochondritis,10.0,1.0,12,339.0
Aleve,"Gout, Acute",8.625,0.875,428,229.75
Aleve,Headache,8.0,0.8,150,317.2
Aleve,Juvenile Rheumatoid Arthritis,3.6666666666666665,0.3333333333333333,18,65.66666666666667
Aleve,Muscle Pain,7.0,1.0,46,96.0
Aleve,Osteoarthritis,6.25,0.75,277,288.0
Aleve,Pain,7.153846153846154,0.6923076923076923,187,215.30769230769232
Aleve,Period Pain,8.166666666666666,0.8333333333333334,113,294.8333333333333
Aleve,Rheumatoid Arthritis,6.833333333333333,0.5833333333333334,346,283.5
Aleve,Sciatica,7.25,0.75,546,339.375
Aleve,Tendonitis,6.5,0.5,74,153.0
Aleve,zen Shoulde,3.5,0.25,37,170.0
Aleve-D Sinus & Cold,Sinus Symptoms,9.0,1.0,18,629.0
Alfuzosin,Benign Prostatic Hyperplasia,5.8,0.5777777777777777,1687,363.9111111111111
Alfuzosin,Not Listed / Othe,10.0,1.0,1,135.0
Alimta,Non-Small Cell Lung Cance,8.0,1.0,38,261.0
Alirocumab,Cardiovascular Risk Reduction,9.0,1.0,3,352.0
Alirocumab,High Cholesterol,5.75,0.5,347,453.1875
Alirocumab,"High Cholesterol, Familial Heterozygous",8.142857142857142,0.8571428571428571,94,471.42857142857144
Alirocumab,"High Cholesterol, Familial Homozygous",5.5,0.5,40,237.0
Aliskiren,High Blood Pressure,7.304347826086956,0.7608695652173914,504,325.95652173913044
Aliskiren / hydrochlorothiazide,High Blood Pressure,8.5,0.875,80,372.25
Alka-Seltzer Cold and Sinus,Sinus Symptoms,10.0,1.0,6,169.0
Alka-Seltzer Plus Cold,Cold Symptoms,8.0,0.8333333333333334,12,92.0
Alka-Seltzer Plus Cold,Sinus Symptoms,10.0,1.0,9,67.0
Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,Sinus Symptoms,8.0,1.0,2,331.0
All Day Allergy,Allergic Rhinitis,9.0,1.0,4,65.0
Allantoin / camphor / phenol,Herpes Simplex,9.0,1.0,21,437.0
Allegra,1</span> users found this comment helpful.,9.0,1.0,1,302.0
Allegra,9</span> users found this comment helpful.,5.0,0.5,9,121.0
Allegra,Allergic Rhinitis,6.925,0.6875,718,352.425
Allegra,Urticaria,8.777777777777779,0.8888888888888888,702,352.55555555555554
Allegra Allergy,Allergic Rhinitis,1.6666666666666667,0.08333333333333333,22,199.5
Allegra ODT,Allergic Rhinitis,10.0,1.0,26,384.0
Allegra-D 12 Hour,Allergic Rhinitis,8.285714285714286,0.8571428571428571,67,300.85714285714283
Allegra-D 24 Hour,10</span> users found this comment helpful.,9.0,1.0,10,542.0
Allegra-D 24 Hour,2</span> users found this comment helpful.,8.0,1.0,2,123.0
Allegra-D 24 Hour,Allergic Rhinitis,7.416666666666667,0.8333333333333334,117,313.1666666666667
Aller-Ease,Urticaria,1.0,0.0,1,68.0
Allergy DN PE,Rhinitis,10.0,1.0,4,253.0
Allerx Dose Pack DF,Rhinitis,9.6,1.0,18,184.8
Alli,142</span> users found this comment helpful.,9.0,1.0,142,83.0
Alli,51</span> users found this comment helpful.,9.0,1.0,51,314.0
Alli,74</span> users found this comment helpful.,9.0,1.0,74,599.0
Alli,99</span> users found this comment helpful.,9.0,1.0,99,93.0
Alli,Obesity,6.257575757575758,0.6439393939393939,4139,437.1363636363636
Allopurinol,Gout,7.909090909090909,0.8295454545454546,1737,394.1818181818182
Allopurinol,Hyperuricemia Secondary to Chemotherapy,7.0,1.0,0,92.0
Allopurinol,Urinary Tract Stones,8.666666666666666,1.0,51,358.0
Almotriptan,Migraine,8.857142857142858,0.9285714285714286,210,275.0
Alocril,"Conjunctivitis, Allergic",10.0,1.0,5,105.0
Aloe vera,"Burns, External",10.0,1.0,2,661.0
Aloe vera / hydrocortisone / iodoquinol,Dermatitis,8.5,1.0,7,100.0
